iter	RMSE
0	153.0338055
1	147.7161518
2	142.9845364
3	138.4053294
4	133.6820964
5	129.1517623
6	124.9550516
7	120.2983663
8	115.8435688
9	111.8644226
10	108.1392304
11	104.7144604
12	101.2653849
13	98.2947219
14	95.07280757
15	92.09512787
16	89.46527845
17	86.81486815
18	84.07504915
19	81.88214981
20	79.57971909
21	77.21520783
22	75.34021965
23	73.19161776
24	71.30570757
25	69.35529013
26	67.77498448
27	66.55115099
28	64.67805124
29	63.12955656
30	61.88075057
31	60.51161768
32	59.05096816
33	57.78113922
34	56.42915815
35	55.07748635
36	53.91721083
37	52.60208938
38	51.48052886
39	50.46377683
40	49.58482601
41	48.69458116
42	47.74109381
43	46.89725117
44	46.04503464
45	45.24074538
46	44.55847714
47	43.73816727
48	42.90681766
49	42.07885263
50	41.35344422
51	40.81126509
52	40.2127046
53	39.66698225
54	39.08291916
55	38.54142578
56	38.03583386
57	37.56707435
58	37.08452267
59	36.58319678
60	36.08102658
61	35.55016228
62	35.07257379
63	34.65106148
64	34.17474325
65	33.72509187
66	33.27465226
67	32.8727969
68	32.45539569
69	32.0527226
70	31.706374
71	31.2933125
72	30.92933953
73	30.63987252
74	30.29195566
75	29.99787705
76	29.66425832
77	29.33109095
78	29.04545565
79	28.79442726
80	28.54609693
81	28.29514741
82	28.09837195
83	27.79236462
84	27.55066583
85	27.31125751
86	27.0856863
87	26.89299074
88	26.68763413
89	26.44406462
90	26.23251527
91	26.12233755
92	25.87974543
93	25.65969574
94	25.4175639
95	25.2636989
96	25.08199501
97	24.92402361
98	24.78534549
99	24.65302341
100	24.50925809
101	24.34394038
102	24.16233565
103	24.01472758
104	23.87356401
105	23.74580169
106	23.53865956
107	23.36827946
108	23.20347828
109	23.02032347
110	22.83432115
111	22.68988417
112	22.54629169
113	22.42830057
114	22.3253687
115	22.19544814
116	22.0943836
117	22.03596427
118	21.88555973
119	21.8067275
120	21.70653069
121	21.57571085
122	21.46094466
123	21.31814204
124	21.1946868
125	21.03985358
126	20.86244464
127	20.78684153
128	20.65585983
129	20.56052734
130	20.47824602
131	20.43011422
132	20.26543079
133	20.18067965
134	20.02509798
135	19.8888253
136	19.73113624
137	19.61822474
138	19.56124595
139	19.44793185
140	19.28958564
141	19.21393438
142	19.08046009
143	19.04056485
144	18.87536901
145	18.7487066
146	18.61654323
147	18.46780134
148	18.40337966
149	18.36500136
150	18.2867644
151	18.15825342
152	18.04989685
153	17.98591705
154	17.91033983
155	17.85678722
156	17.78550323
157	17.64082764
158	17.46993078
159	17.36920071
160	17.34125193
161	17.29508249
162	17.1284645
163	17.00654683
164	16.93325
165	16.71733864
166	16.65332731
167	16.58389848
168	16.56738794
169	16.42098092
170	16.31495024
171	16.17972795
172	16.17051264
173	16.15791679
174	16.14187899
175	16.0338313
176	16.01009609
177	15.96108151
178	15.95105771
179	15.92020019
180	15.90726423
181	15.88645702
182	15.87393862
183	15.85453449
184	15.84436566
185	15.83534378
186	15.73229929
187	15.60968047
188	15.60007626
189	15.50639806
190	15.39706761
191	15.29966729
192	15.23439547
193	15.12367433
194	15.00436981
195	14.89313297
196	14.7849896
197	14.77437199
198	14.75833008
199	14.72175591
200	14.61197762
201	14.50346566
202	14.40015917
203	14.3370899
204	14.24396057
205	14.23602742
206	14.14755894
207	14.12878757
208	14.11610496
209	14.05365004
210	13.96006909
211	13.89501291
212	13.81656917
213	13.69707968
214	13.68996744
215	13.61952092
216	13.55485287
217	13.47960088
218	13.46851022
219	13.38815909
220	13.31622341
221	13.23788717
222	13.13190455
223	13.03496683
224	12.9138536
225	12.84539384
226	12.7352272
227	12.70653721
228	12.69598404
229	12.60178986
230	12.54540495
231	12.53675098
232	12.51124568
233	12.43527754
234	12.4290444
235	12.40459484
236	12.30749604
237	12.24411043
238	12.23499007
239	12.1493545
240	12.09058592
241	12.07274279
242	12.05253553
243	12.04418998
244	12.03860921
245	11.98913328
246	11.97814898
247	11.97368418
248	11.88543016
249	11.81573366
250	11.8080799
251	11.730359
252	11.703642
253	11.63329937
254	11.62598996
255	11.54628419
256	11.52128214
257	11.48146186
258	11.42787831
259	11.35385466
260	11.34399228
261	11.32738854
262	11.32053989
263	11.25338944
264	11.23741128
265	11.20606595
266	11.12699402
267	11.06827501
268	11.00552321
269	10.94833082
270	10.886975
271	10.81767597
272	10.73045444
273	10.66744961
274	10.58393977
275	10.55820363
276	10.50057946
277	10.43962395
278	10.39579343
279	10.33690795
280	10.26508756
281	10.20297143
282	10.17393256
283	10.13436622
284	10.11549906
285	10.10210921
286	10.03619885
287	9.999635412
288	9.985674846
289	9.939420333
290	9.88057329
291	9.805155529
292	9.779223711
293	9.726870398
294	9.695569096
295	9.650148858
296	9.576960804
297	9.508130915
298	9.445712293
299	9.387183163
300	9.317067134
301	9.277685217
302	9.222287004
303	9.177551131
304	9.096667715
305	9.09121723
306	9.056998169
307	9.025897817
308	8.985153764
309	8.945896121
310	8.900396294
311	8.847342382
312	8.794377893
313	8.769625091
314	8.738681937
315	8.695971323
316	8.631810426
317	8.614649767
318	8.607393867
319	8.581127499
320	8.555988024
321	8.526218143
322	8.513406822
323	8.469026657
324	8.42385592
325	8.385448569
326	8.332010078
327	8.298369483
328	8.267850666
329	8.236576823
330	8.19706772
331	8.145095702
332	8.094243613
333	8.082967944
334	8.041418449
335	7.998754725
336	7.98530914
337	7.955826191
338	7.911733271
339	7.869273986
340	7.825647392
341	7.787906686
342	7.775837698
343	7.735770191
344	7.707531952
345	7.674102259
346	7.642344849
347	7.606428076
348	7.566946954
349	7.524754891
350	7.499584506
351	7.46515942
352	7.431830843
353	7.413600626
354	7.388944081
355	7.360523573
356	7.329946799
357	7.278420665
358	7.24214547
359	7.217846195
360	7.179919082
361	7.166535647
362	7.144834931
363	7.104089988
364	7.06741538
365	7.034265398
366	6.994105853
367	6.974850493
368	6.956866341
369	6.941408858
370	6.918012
371	6.87902216
372	6.850265658
373	6.812706412
374	6.790014902
375	6.752538299
376	6.708854247
377	6.685382898
378	6.658051249
379	6.623828254
380	6.604962571
381	6.577662132
382	6.553817202
383	6.521921903
384	6.499995193
385	6.477129083
386	6.442857803
387	6.409423385
388	6.375471589
389	6.349823507
390	6.31782306
391	6.296934216
392	6.285696375
393	6.262552524
394	6.258866098
395	6.239180857
396	6.209401937
397	6.175702788
398	6.168955604
399	6.144737383
400	6.111897815
401	6.094462677
402	6.066535471
403	6.049472629
404	6.022976205
405	6.019093359
406	5.983201644
407	5.966626535
408	5.951164299
409	5.936095803
410	5.902776047
411	5.883709898
412	5.880698157
413	5.847211638
414	5.844467673
415	5.814175911
416	5.793554127
417	5.768148281
418	5.737974432
419	5.713076968
420	5.691908528
421	5.673674192
422	5.656813895
423	5.630181097
424	5.607628079
425	5.578690894
426	5.551879675
427	5.536282919
428	5.517250929
429	5.493102885
430	5.483513177
431	5.455061553
432	5.434603617
433	5.404821509
434	5.387294977
435	5.361112139
436	5.33238053
437	5.312499753
438	5.285600273
439	5.267574454
440	5.238341634
441	5.212013616
442	5.183038358
443	5.160926325
444	5.131650373
445	5.112462526
446	5.088949395
447	5.071488156
448	5.060709764
449	5.044905719
450	5.03352068
451	5.010971226
452	4.981662055
453	4.962986033
454	4.960077196
455	4.9397033
456	4.922825495
457	4.890826482
458	4.874848711
459	4.86198429
460	4.846261894
461	4.832389893
462	4.814642184
463	4.793746685
464	4.78950152
465	4.773441838
466	4.759480349
467	4.738024727
468	4.723623614
469	4.722663478
470	4.692942788
471	4.689408302
472	4.674666712
473	4.661823675
474	4.645186868
475	4.619463557
476	4.601358668
477	4.590523349
478	4.575525001
479	4.557398749
480	4.543219241
481	4.523296115
482	4.505923645
483	4.487584562
484	4.472034647
485	4.450029221
486	4.433156591
487	4.419560296
488	4.408313756
489	4.400988035
490	4.399174241
